Place ID,latitude,longitude,Restaurant Name,Address,City,State,Country,ZIP Code,Alcohol Availability,Smoking Area,Dress Code,Accessibility,Price Range,Ambience,Area,Other Services,Cuisine Type,Parking Availability,Payment Methods,Opening Hours,Operating Days,User ID,Rating,Food Rating,Service Rating,U latitude,U longitude,Smoking Habit,Drinking Habit,Dress Preference,Preferred Ambience,Transport Mode,Marital Status,People Under Charge,Birth Year,Interest,Personality,Religion,Activity Level,Favorite Color,Weight (kg),Budget,Height (cm),Preferred Payment Method,User Preference
135106,22.1497088,-100.9760928,El Rincon De San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,78000,Wine/ Beer,Only At Bar,Informal,Partially,Medium,Familiar,Open,Internet,Mexican,Yes,Mastercard-Eurocard,18:00-23:30;,Mon;Tue;Wed;Thu;Fri;,U1135,Dissatisfied,Dissatisfied,Dissatisfied,22.170396,-100.949936,False,Casual drinker,Informal,Family,On foot,Single,Kids,1988,Variety,Hunter ostentatious,Catholic,Student,Purple,66,Low,1.54,Cash,Organic-Healthy
135106,22.1497088,-100.9760928,El Rincon De San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,78000,Wine/ Beer,Only At Bar,Informal,Partially,Medium,Familiar,Open,Internet,Mexican,Yes,Mastercard-Eurocard,18:00-23:30;,Mon;Tue;Wed;Thu;Fri;,U1078,Satisfied,Satisfied,Satisfied,22.172109,-100.963199,True,Social drinker,Informal,Solitary,Car owner,Single,Independent,1983,Variety,Hard worker,Catholic,Professional,Blue,69,Medium,1.69,Cash,Mexican
135106,22.1497088,-100.9760928,El Rincon De San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,78000,Wine/ Beer,Only At Bar,Informal,Partially,Medium,Familiar,Open,Internet,Mexican,Yes,Mastercard-Eurocard,18:00-23:30;,Mon;Tue;Wed;Thu;Fri;,U1002,Neutral,Neutral,Neutral,22.150087,-100.983325,False,Abstemious,Informal,Family,Public,Single,Independent,1990,Technology,Hunter ostentatious,Catholic,Student,Red,40,Low,1.87,Cash,Mexican
135104,23.7529821,-99.1684341,Vips,?,San Luis Potosi,San Luis Potosi,Mexico,?,Full Bar,Not Permitted,Informal,Completely,Medium,Familiar,Closed,Variety,Mexican,Yes,Mastercard-Eurocard,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;,U1068,Neutral,Neutral,Satisfied,23.752269,-99.168605,False,Casual drinker,Informal,Friends,Public,Single,Independent,1988,Technology,Thrifty protector,Catholic,Student,Blue,72,Low,1.57,Cash,Mexican
135104,23.7529821,-99.1684341,Vips,?,San Luis Potosi,San Luis Potosi,Mexico,?,Full Bar,Not Permitted,Informal,Completely,Medium,Familiar,Closed,Variety,Mexican,Yes,Mastercard-Eurocard,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;,U1067,Dissatisfied,Dissatisfied,Dissatisfied,23.752269,-99.168605,False,Abstemious,No preference,Family,Public,Single,Independent,1987,Technology,Thrifty protector,Christian,Student,Green,92,Medium,1.73,Cash,Mexican
135104,23.7529821,-99.1684341,Vips,?,San Luis Potosi,San Luis Potosi,Mexico,?,Full Bar,Not Permitted,Informal,Completely,Medium,Familiar,Closed,Variety,Mexican,Yes,Mastercard-Eurocard,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;,U1103,Neutral,Satisfied,Dissatisfied,23.752265,-99.16859,False,Abstemious,Formal,Friends,Public,Single,Independent,1989,Technology,Hard worker,Jewish,Professional,Green,120,Medium,1.9,Bank debit cards,Mexican
135104,23.7529821,-99.1684341,Vips,?,San Luis Potosi,San Luis Potosi,Mexico,?,Full Bar,Not Permitted,Informal,Completely,Medium,Familiar,Closed,Variety,Mexican,Yes,Mastercard-Eurocard,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;,U1123,Satisfied,Satisfied,Satisfied,23.753112,-99.168567,False,Abstemious,Informal,Family,Public,Single,Independent,1987,Technology,Hard worker,Catholic,Student,Green,110,Medium,1.75,Cash,Mexican
135104,23.7529821,-99.1684341,Vips,?,San Luis Potosi,San Luis Potosi,Mexico,?,Full Bar,Not Permitted,Informal,Completely,Medium,Familiar,Closed,Variety,Mexican,Yes,Mastercard-Eurocard,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;,U1063,Neutral,Satisfied,Neutral,23.745096,-99.164357,False,Casual drinker,Formal,Family,Public,Single,Independent,1988,Eco friendly,Conformist,Catholic,Student,Red,80,Medium,1.78,Cash,Mexican
135104,23.7529821,-99.1684341,Vips,?,San Luis Potosi,San Luis Potosi,Mexico,?,Full Bar,Not Permitted,Informal,Completely,Medium,Familiar,Closed,Variety,Mexican,Yes,Mastercard-Eurocard,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;,U1028,Dissatisfied,Neutral,Dissatisfied,23.752874,-99.169242,False,Abstemious,No preference,Family,Public,Single,Independent,1989,Variety,Hard worker,Christian,Student,Blue,77,Medium,1.63,Cash,Mexican
135104,23.7529821,-99.1684341,Vips,?,San Luis Potosi,San Luis Potosi,Mexico,?,Full Bar,Not Permitted,Informal,Completely,Medium,Familiar,Closed,Variety,Mexican,Yes,Mastercard-Eurocard,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;,U1087,Neutral,Satisfied,Neutral,23.753336,-99.167984,False,Abstemious,No preference,Solitary,Public,Single,Independent,1989,Variety,Thrifty protector,Catholic,Student,Black,53,Medium,1.55,Cash,Chinese
135088,18.8760113,-99.2198896,Cafeteria Cenidet,Interior Internado Palmira Sn,Cuernavaca,Morelos,Mexico,?,No Alcohol,Not Permitted,Informal,No Accessibility,Low,Quiet,Closed,Variety,Cafeteria,Public,Cash,09:00-16:00;,Mon;Tue;Wed;Thu;Fri;,U1044,Satisfied,Satisfied,Satisfied,18.95298,-99.260789,True,Social drinker,Informal,Family,Car owner,Married,Kids,1969,Variety,Thrifty protector,Catholic,Professional,Orange,85,Medium,1.73,Mastercard eurocard,Mexican
135088,18.8760113,-99.2198896,Cafeteria Cenidet,Interior Internado Palmira Sn,Cuernavaca,Morelos,Mexico,?,No Alcohol,Not Permitted,Informal,No Accessibility,Low,Quiet,Closed,Variety,Cafeteria,Public,Cash,09:00-16:00;,Mon;Tue;Wed;Thu;Fri;,U1030,Neutral,Dissatisfied,Neutral,18.844818,-99.182758,False,Casual drinker,Formal,Family,On foot,Single,Independent,1991,Eco friendly,Hard worker,Catholic,Student,Black,64,Medium,1.75,Cash,Mexican
135088,18.8760113,-99.2198896,Cafeteria Cenidet,Interior Internado Palmira Sn,Cuernavaca,Morelos,Mexico,?,No Alcohol,Not Permitted,Informal,No Accessibility,Low,Quiet,Closed,Variety,Cafeteria,Public,Cash,09:00-16:00;,Mon;Tue;Wed;Thu;Fri;,U1072,Dissatisfied,Neutral,Dissatisfied,18.86826,-99.212033,False,Casual drinker,No preference,Family,Public,Single,Independent,1984,Eco friendly,Thrifty protector,Christian,Student,Red,50,Medium,1.54,Cash,Mexican
135088,18.8760113,-99.2198896,Cafeteria Cenidet,Interior Internado Palmira Sn,Cuernavaca,Morelos,Mexico,?,No Alcohol,Not Permitted,Informal,No Accessibility,Low,Quiet,Closed,Variety,Cafeteria,Public,Cash,09:00-16:00;,Mon;Tue;Wed;Thu;Fri;,U1117,Neutral,Neutral,Satisfied,18.875641,-99.220737,False,Abstemious,No preference,Friends,Public,Single,Independent,1982,Technology,Thrifty protector,Catholic,Professional,Blue,58,Medium,1.6,Cash,Turkish
135088,18.8760113,-99.2198896,Cafeteria Cenidet,Interior Internado Palmira Sn,Cuernavaca,Morelos,Mexico,?,No Alcohol,Not Permitted,Informal,No Accessibility,Low,Quiet,Closed,Variety,Cafeteria,Public,Cash,09:00-16:00;,Mon;Tue;Wed;Thu;Fri;,U1020,Neutral,Satisfied,Dissatisfied,18.878189,-99.222969,False,Abstemious,No preference,Friends,Public,Single,Independent,1982,Technology,Hard worker,Catholic,Professional,Blue,40,Medium,1.68,Bank debit cards,Mexican
135088,18.8760113,-99.2198896,Cafeteria Cenidet,Interior Internado Palmira Sn,Cuernavaca,Morelos,Mexico,?,No Alcohol,Not Permitted,Informal,No Accessibility,Low,Quiet,Closed,Variety,Cafeteria,Public,Cash,09:00-16:00;,Mon;Tue;Wed;Thu;Fri;,U1051,Neutral,Neutral,Neutral,18.877719,-99.22299,False,Casual drinker,No preference,Family,Public,Single,Independent,1979,Variety,Thrifty protector,Atheist,Professional,Blue,74,Medium,1.76,Cash,Mexican
135086,22.141421,-101.013955,Mcdonalds Parque Tangamanga,Lateral Salvador Nava Martinez 3145,San Luis Potosi,San Luis Potosi,Mexico,78290,No Alcohol,Not Permitted,Informal,No Accessibility,Medium,Familiar,Closed,Variety,Burgers,Yes,Mastercard-Eurocard,08:00-23:00;,Mon;Tue;Wed;Thu;Fri;,U1108,Neutral,Neutral,Dissatisfied,22.143524,-100.987562,False,Abstemious,Informal,Solitary,Public,Single,Independent,1983,Technology,Thrifty protector,Catholic,Student,Blue,76,Medium,1.81,Mastercard eurocard,Cafe-Coffee_Shop
135086,22.141421,-101.013955,Mcdonalds Parque Tangamanga,Lateral Salvador Nava Martinez 3145,San Luis Potosi,San Luis Potosi,Mexico,78290,No Alcohol,Not Permitted,Informal,No Accessibility,Medium,Familiar,Closed,Variety,Burgers,Yes,Mastercard-Eurocard,08:00-23:00;,Mon;Tue;Wed;Thu;Fri;,U1034,Neutral,Neutral,Neutral,22.137178,-101.013169,False,Casual drinker,Informal,Family,Public,Single,Independent,1990,Technology,Thrifty protector,Catholic,Student,Yellow,50,Medium,1.58,Cash,Mexican
135086,22.141421,-101.013955,Mcdonalds Parque Tangamanga,Lateral Salvador Nava Martinez 3145,San Luis Potosi,San Luis Potosi,Mexico,78290,No Alcohol,Not Permitted,Informal,No Accessibility,Medium,Familiar,Closed,Variety,Burgers,Yes,Mastercard-Eurocard,08:00-23:00;,Mon;Tue;Wed;Thu;Fri;,U1095,Neutral,Satisfied,Neutral,22.179865,-101.018547,False,Abstemious,Formal,Family,Public,Married,Independent,1986,Variety,Thrifty protector,Catholic,Student,Blue,65,Medium,1.65,Cash,Italian
135086,22.141421,-101.013955,Mcdonalds Parque Tangamanga,Lateral Salvador Nava Martinez 3145,San Luis Potosi,San Luis Potosi,Mexico,78290,No Alcohol,Not Permitted,Informal,No Accessibility,Medium,Familiar,Closed,Variety,Burgers,Yes,Mastercard-Eurocard,08:00-23:00;,Mon;Tue;Wed;Thu;Fri;,U1007,Dissatisfied,Dissatisfied,Dissatisfied,22.118464,-100.938256,False,Casual drinker,Informal,Solitary,Public,Single,Independent,1989,Variety,Thrifty protector,Catholic,Student,Purple,60,Low,1.59,Cash,Family
135086,22.141421,-101.013955,Mcdonalds Parque Tangamanga,Lateral Salvador Nava Martinez 3145,San Luis Potosi,San Luis Potosi,Mexico,78290,No Alcohol,Not Permitted,Informal,No Accessibility,Medium,Familiar,Closed,Variety,Burgers,Yes,Mastercard-Eurocard,08:00-23:00;,Mon;Tue;Wed;Thu;Fri;,U1091,Neutral,Neutral,Neutral,22.154677,-100.949013,False,Casual drinker,No preference,Family,Car owner,Single,Independent,1989,Eco friendly,Thrifty protector,Atheist,Student,Red,40,Low,1.7,Cash,American
135086,22.141421,-101.013955,Mcdonalds Parque Tangamanga,Lateral Salvador Nava Martinez 3145,San Luis Potosi,San Luis Potosi,Mexico,78290,No Alcohol,Not Permitted,Informal,No Accessibility,Medium,Familiar,Closed,Variety,Burgers,Yes,Mastercard-Eurocard,08:00-23:00;,Mon;Tue;Wed;Thu;Fri;,U1019,Dissatisfied,Dissatisfied,Dissatisfied,22.153385,-100.975294,False,Casual drinker,No preference,Family,Public,Single,Independent,1989,Variety,Thrifty protector,Catholic,Student,Purple,59,Medium,1.6,Cash,Family
135086,22.141421,-101.013955,Mcdonalds Parque Tangamanga,Lateral Salvador Nava Martinez 3145,San Luis Potosi,San Luis Potosi,Mexico,78290,No Alcohol,Not Permitted,Informal,No Accessibility,Medium,Familiar,Closed,Variety,Burgers,Yes,Mastercard-Eurocard,08:00-23:00;,Mon;Tue;Wed;Thu;Fri;,U1061,Neutral,Neutral,Satisfied,22.140388,-100.937321,False,Social drinker,No preference,Friends,Car owner,Single,Independent,1990,Technology,Hard worker,Catholic,Professional,Blue,40,Medium,1.76,Bank debit cards,Mexican
135086,22.141421,-101.013955,Mcdonalds Parque Tangamanga,Lateral Salvador Nava Martinez 3145,San Luis Potosi,San Luis Potosi,Mexico,78290,No Alcohol,Not Permitted,Informal,No Accessibility,Medium,Familiar,Closed,Variety,Burgers,Yes,Mastercard-Eurocard,08:00-23:00;,Mon;Tue;Wed;Thu;Fri;,U1112,Dissatisfied,Dissatisfied,Dissatisfied,22.143078,-100.908523,True,Casual drinker,Formal,Friends,Car owner,Single,Independent,1991,Variety,Hard worker,Catholic,Student,White,69,Medium,1.69,Cash,Mexican
135086,22.141421,-101.013955,Mcdonalds Parque Tangamanga,Lateral Salvador Nava Martinez 3145,San Luis Potosi,San Luis Potosi,Mexico,78290,No Alcohol,Not Permitted,Informal,No Accessibility,Medium,Familiar,Closed,Variety,Burgers,Yes,Mastercard-Eurocard,08:00-23:00;,Mon;Tue;Wed;Thu;Fri;,U1096,Neutral,Dissatisfied,Satisfied,22.1455,-100.939593,False,Abstemious,Formal,Family,Public,Single,Independent,1990,Eco friendly,Hard worker,Catholic,Student,Black,40,Medium,1.2,Cash,Mexican
135086,22.141421,-101.013955,Mcdonalds Parque Tangamanga,Lateral Salvador Nava Martinez 3145,San Luis Potosi,San Luis Potosi,Mexico,78290,No Alcohol,Not Permitted,Informal,No Accessibility,Medium,Familiar,Closed,Variety,Burgers,Yes,Mastercard-Eurocard,08:00-23:00;,Mon;Tue;Wed;Thu;Fri;,U1097,Satisfied,Dissatisfied,Neutral,22.145471,-100.939588,False,Abstemious,Formal,Family,Public,Single,Independent,1990,Variety,Hard worker,Catholic,Student,Black,58,Medium,1.64,Cash,Mexican
135085,22.150802,-100.98268,Tortas Locas Hipocampo,Venustiano Carranza 719 Centro,San Luis Potosi,San Luis Potosi,Mexico,78000,No Alcohol,Not Permitted,Informal,No Accessibility,Medium,Familiar,Closed,Variety,Fast Food,Public,Cash,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;,U1077,Satisfied,Satisfied,Satisfied,22.156469,-100.98554,False,Social drinker,Elegant,Family,Public,Married,Kids,1987,Technology,Thrifty protector,Catholic,Student,Blue,65,Medium,1.71,Bank debit cards,Mexican
135085,22.150802,-100.98268,Tortas Locas Hipocampo,Venustiano Carranza 719 Centro,San Luis Potosi,San Luis Potosi,Mexico,78000,No Alcohol,Not Permitted,Informal,No Accessibility,Medium,Familiar,Closed,Variety,Fast Food,Public,Cash,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;,U1108,Neutral,Satisfied,Neutral,22.143524,-100.987562,False,Abstemious,Informal,Solitary,Public,Single,Independent,1983,Technology,Thrifty protector,Catholic,Student,Blue,76,Medium,1.81,Mastercard eurocard,Cafe-Coffee_Shop
135085,22.150802,-100.98268,Tortas Locas Hipocampo,Venustiano Carranza 719 Centro,San Luis Potosi,San Luis Potosi,Mexico,78000,No Alcohol,Not Permitted,Informal,No Accessibility,Medium,Familiar,Closed,Variety,Fast Food,Public,Cash,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;,U1081,Neutral,Satisfied,Neutral,22.207749,-100.942383,False,Casual drinker,Informal,Family,Public,Single,Independent,1991,Variety,Hard worker,Catholic,Student,Green,52,Low,1.54,Cash,Mexican
135085,22.150802,-100.98268,Tortas Locas Hipocampo,Venustiano Carranza 719 Centro,San Luis Potosi,San Luis Potosi,Mexico,78000,No Alcohol,Not Permitted,Informal,No Accessibility,Medium,Familiar,Closed,Variety,Fast Food,Public,Cash,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;,U1056,Satisfied,Satisfied,Satisfied,22.168997,-100.974376,False,Social drinker,Informal,Family,On foot,Single,Independent,1930,Technology,Hard worker,Catholic,Student,Yellow,61,Medium,1.62,Cash,Mexican
135085,22.150802,-100.98268,Tortas Locas Hipocampo,Venustiano Carranza 719 Centro,San Luis Potosi,San Luis Potosi,Mexico,78000,No Alcohol,Not Permitted,Informal,No Accessibility,Medium,Familiar,Closed,Variety,Fast Food,Public,Cash,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;,U1134,Satisfied,Neutral,Satisfied,22.149654,-100.99861,False,Casual drinker,No preference,Family,Public,Single,Independent,1991,Variety,Hard worker,Catholic,Student,Black,52,Medium,1.65,Cash,Mexican
135085,22.150802,-100.98268,Tortas Locas Hipocampo,Venustiano Carranza 719 Centro,San Luis Potosi,San Luis Potosi,Mexico,78000,No Alcohol,Not Permitted,Informal,No Accessibility,Medium,Familiar,Closed,Variety,Fast Food,Public,Cash,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;,U1116,Satisfied,Satisfied,Satisfied,22.156469,-100.98554,False,Social drinker,Formal,Family,Public,Married,Kids,1987,Technology,Thrifty protector,Catholic,Student,Blue,40,Medium,1.71,Visa,Mexican
135085,22.150802,-100.98268,Tortas Locas Hipocampo,Venustiano Carranza 719 Centro,San Luis Potosi,San Luis Potosi,Mexico,78000,No Alcohol,Not Permitted,Informal,No Accessibility,Medium,Familiar,Closed,Variety,Fast Food,Public,Cash,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;,U1132,Satisfied,Satisfied,Satisfied,22.15,-100.983,False,Casual drinker,Informal,Solitary,Public,Single,Kids,1991,Eco friendly,Hard worker,Atheist,Student,Blue,55,Medium,1.6,Cash,Mexican
135085,22.150802,-100.98268,Tortas Locas Hipocampo,Venustiano Carranza 719 Centro,San Luis Potosi,San Luis Potosi,Mexico,78000,No Alcohol,Not Permitted,Informal,No Accessibility,Medium,Familiar,Closed,Variety,Fast Food,Public,Cash,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;,U1120,Dissatisfied,Dissatisfied,Dissatisfied,22.121857,-100.904279,False,Abstemious,Informal,Friends,Public,Single,Independent,1930,Variety,Hard worker,Atheist,Student,Green,47,Low,1.57,Cash,Mexican
135085,22.150802,-100.98268,Tortas Locas Hipocampo,Venustiano Carranza 719 Centro,San Luis Potosi,San Luis Potosi,Mexico,78000,No Alcohol,Not Permitted,Informal,No Accessibility,Medium,Familiar,Closed,Variety,Fast Food,Public,Cash,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;,U1036,Satisfied,Satisfied,Satisfied,22.160572,-100.989418,False,Social drinker,Informal,Family,Public,Single,Independent,1991,Variety,Hard worker,Catholic,Student,Blue,76,Medium,1.7,Cash,Mexican
135085,22.150802,-100.98268,Tortas Locas Hipocampo,Venustiano Carranza 719 Centro,San Luis Potosi,San Luis Potosi,Mexico,78000,No Alcohol,Not Permitted,Informal,No Accessibility,Medium,Familiar,Closed,Variety,Fast Food,Public,Cash,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;,U1084,Satisfied,Satisfied,Satisfied,22.172524,-101.005758,True,Casual drinker,Formal,Family,Public,Single,Independent,1991,Variety,Thrifty protector,Catholic,Student,Red,65,Medium,1.6,Cash,Mexican
135085,22.150802,-100.98268,Tortas Locas Hipocampo,Venustiano Carranza 719 Centro,San Luis Potosi,San Luis Potosi,Mexico,78000,No Alcohol,Not Permitted,Informal,No Accessibility,Medium,Familiar,Closed,Variety,Fast Food,Public,Cash,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;,U1113,Neutral,Satisfied,Neutral,22.137343,-100.913935,False,Casual drinker,Formal,Family,Public,Single,Independent,1990,Variety,Thrifty protector,Catholic,Student,Blue,75,Medium,1.73,Cash,Burgers
135085,22.150802,-100.98268,Tortas Locas Hipocampo,Venustiano Carranza 719 Centro,San Luis Potosi,San Luis Potosi,Mexico,78000,No Alcohol,Not Permitted,Informal,No Accessibility,Medium,Familiar,Closed,Variety,Fast Food,Public,Cash,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;,U1104,Satisfied,Satisfied,Neutral,22.149005,-100.978153,True,Social drinker,No preference,Family,Car owner,Single,Independent,1991,Technology,Hunter ostentatious,Catholic,Student,Blue,75,Medium,1.71,Cash,Italian
135085,22.150802,-100.98268,Tortas Locas Hipocampo,Venustiano Carranza 719 Centro,San Luis Potosi,San Luis Potosi,Mexico,78000,No Alcohol,Not Permitted,Informal,No Accessibility,Medium,Familiar,Closed,Variety,Fast Food,Public,Cash,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;,U1106,Satisfied,Satisfied,Satisfied,18.927072,-99.173584,False,Casual drinker,Informal,Friends,Car owner,Single,Independent,1930,Technology,Hard worker,Catholic,Professional,Blue,65,Medium,1.71,Cash,Barbecue
135085,22.150802,-100.98268,Tortas Locas Hipocampo,Venustiano Carranza 719 Centro,San Luis Potosi,San Luis Potosi,Mexico,78000,No Alcohol,Not Permitted,Informal,No Accessibility,Medium,Familiar,Closed,Variety,Fast Food,Public,Cash,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;,U1045,Satisfied,Satisfied,Satisfied,22.156724,-100.984268,False,Casual drinker,Elegant,Friends,Car owner,Single,Independent,1991,Technology,Thrifty protector,Mormon,Student,Orange,68,High,1.6,Cash,Middle_Eastern
135085,22.150802,-100.98268,Tortas Locas Hipocampo,Venustiano Carranza 719 Centro,San Luis Potosi,San Luis Potosi,Mexico,78000,No Alcohol,Not Permitted,Informal,No Accessibility,Medium,Familiar,Closed,Variety,Fast Food,Public,Cash,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;,U1016,Satisfied,Satisfied,Dissatisfied,22.156247,-100.977402,False,Casual drinker,Informal,Friends,On foot,Single,Independent,1991,Eco friendly,Thrifty protector,Catholic,Student,Green,70,Medium,1.67,Cash,Cafe-Coffee_Shop
